Medicine,Exercise,Diet,Doctor
Bevacizumab,Pulmonary rehab sessions,Oats and whole grains,"Dr. Mohan Raj, CMC, Vellore"
Gefitinib,Deep breathing drills,Include turmeric and ginger,"Dr. Anil Verma, PGI, Chandigarh"
Gefitinib,Low-impact aerobics,Leafy green vegetables,"Dr. Rakesh Nanda, Max Hospital, Delhi"
Crizotinib,Stretching and flexibility,Plenty of fluids,"Dr. Rakesh Nanda, Max Hospital, Delhi"
Erlotinib,Stretching and flexibility,Avoid processed meats,"Dr. Anil Verma, PGI, Chandigarh"
Bevacizumab,Yoga for lungs,Low sugar intake,"Dr. Rakesh Nanda, Max Hospital, Delhi"
Osimertinib,Low-impact aerobics,High-protein diet,"Dr. Anita Desai, KIMS, Pune"
Bevacizumab,Tai Chi,High-protein diet,"Dr. Mohan Raj, CMC, Vellore"
Docetaxel,Breathing exercises,Plenty of fluids,"Dr. Anil Verma, PGI, Chandigarh"
Chemotherapy,Yoga for lungs,Antioxidant-rich fruits,"Dr. Anita Desai, KIMS, Pune"
Osimertinib,Chair exercises,Avoid processed meats,"Dr. Anita Desai, KIMS, Pune"
Bevacizumab,Yoga for lungs,Leafy green vegetables,"Dr. Kiran Patel, Fortis, Bangalore"
Osimertinib,Low-impact aerobics,Avoid processed meats,"Dr. Rakesh Nanda, Max Hospital, Delhi"
Chemotherapy,Breathing exercises,Oats and whole grains,"Dr. Anil Verma, PGI, Chandigarh"
Alectinib,Deep breathing drills,Small frequent meals,"Dr. Anil Verma, PGI, Chandigarh"
Docetaxel,Resistance band training,Leafy green vegetables,"Dr. Meera Sharma, Tata Memorial, Mumbai"
Chemotherapy,Resistance band training,Plenty of fluids,"Dr. Meera Sharma, Tata Memorial, Mumbai"
Erlotinib,Light walking 20 mins/day,Leafy green vegetables,"Dr. Meera Sharma, Tata Memorial, Mumbai"
Alectinib,Yoga for lungs,Plenty of fluids,"Dr. Suman Rao, Manipal, Jaipur"
Radiation therapy,Resistance band training,Omega-3 rich fish,"Dr. Priya Menon, Medanta, Gurgaon"
Chemotherapy,Yoga for lungs,Omega-3 rich fish,"Dr. Anita Desai, KIMS, Pune"
Chemotherapy,Chair exercises,Avoid processed meats,"Dr. Arjun Iyer, AIIMS, Delhi"
Radiation therapy,Low-impact aerobics,Low sugar intake,"Dr. Meera Sharma, Tata Memorial, Mumbai"
Docetaxel,Resistance band training,Small frequent meals,"Dr. Anil Verma, PGI, Chandigarh"
Docetaxel,Resistance band training,Include turmeric and ginger,"Dr. Priya Menon, Medanta, Gurgaon"
Radiation therapy,Pulmonary rehab sessions,Oats and whole grains,"Dr. Priya Menon, Medanta, Gurgaon"
Alectinib,Resistance band training,Oats and whole grains,"Dr. Meera Sharma, Tata Memorial, Mumbai"
Alectinib,Chair exercises,Avoid processed meats,"Dr. Anil Verma, PGI, Chandigarh"
Radiation therapy,Light walking 20 mins/day,Omega-3 rich fish,"Dr. Kiran Patel, Fortis, Bangalore"
Chemotherapy,Deep breathing drills,Omega-3 rich fish,"Dr. Anita Desai, KIMS, Pune"
Erlotinib,Chair exercises,Include turmeric and ginger,"Dr. Meera Sharma, Tata Memorial, Mumbai"
Immunotherapy,Tai Chi,High-protein diet,"Dr. Arjun Iyer, AIIMS, Delhi"
Bevacizumab,Chair exercises,Oats and whole grains,"Dr. Sneha Reddy, Apollo, Hyderabad"
Gefitinib,Tai Chi,Plenty of fluids,"Dr. Rakesh Nanda, Max Hospital, Delhi"
